Timings,8.00 - 8.50,9.00 - 9.50,10.00 - 10. 50,11.00 - 11.50,12.00 - 12. 50,Lunch Break,2.00 - 2.50,3.00 - 3.50,4.00 - 4.50,5.00 - 5.50,6.00- 6.50
,,ME508(ME-1),CE501(CY-2),,EE513(EE-1),,CY416(CY-1),MA411(ME-1),MA415-(ME-2),,
,,,,,EE629(EE-3),,CY515(CY-2),CE523(EE-3),EE316(EE-2),,
,,,CS527(CS-SH),,,,MA414(ME-1),CS506(CS-1),,,CE401(ME1)
,,,EE511(EE-1),,,,BM605(EE-1),CH502(CY-2),,,CH303(M2)
,,,,,,,CE503(CS-1),,,,ME302(ME-SH)
,,,,,,,EE515(EE-2),,,,CS301(M3)
,,,,,,,CE519(EE-3),,,,EE303(CS-SH)
,,,,,,,,,,,MA301(M4)
,,,,,,,,,,,MM303(ME-2)
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,NCC/NSO/NSS,
,,,,,,,,,,,T - PC -3
,,,,,,,,,GE108-G9,,
,,,,,,,,,GE109-G7,,
,,,,,,,,,GE107-G3,,
,,,,,,,,,,,
Thursday,T -PC - 4,PCPE,HSME,PCDE,PEOE,,PCE-1,PCE-2,PCE-3,S,T-PCE-3
,CY101,BM101(M5),CE401(M1),HS301(M6),CE520(M1),,HS102,PH101,MA101,,MA101
,GE201(M3),HS202(M6),CH303(M2),GE111(M5),HS472(M3),,HS103,CS203(M3),CE402(M2),,CE402(M2)
,GE203(M1),CS504(CS-1),ME302(ME-SH),CE511(M1),MM401(ME-2),,MA201(M5),EE205(M4),CS302(M3),,CS302(M3)
,EE201(M6),CS533(CS-2),CS301(M5),,MA615(M4),,HS201(M6),CE304(M1),CH302(M1),,CH302(M1)
,EE201(M4),CE516(M1),EE303(CS-SH),ME507(ME-SH),CS630(CS-SH),,HS201(M3),ME102(ME-SH),EE301(M4),,EE301(M4)
,,PH552(M3),MA301(M4),ME548(ME-1),CS539(M5),,EE305(CS-SH),MM203(ME-2),ME301(M6),,ME301(M6)
,CY415(CY-SH),,MM303(ME-2),EE523(EE-1),BM611(CY-SH),,CS303(M4),HS104 (M6),MM302(CY-1),,MM302(CY-1)
,CY514(CY-1),ME502(ME-1),HS475(M3),EE533(EE-SH),ME517(ME-1),,CE404(M1),,MA514(CY-SH),,MA415-(ME-2)
,MA413(EE-SH),ME521(ME-SH),ME503(ME-1),CS516(CS-1),ME471(ME-SH),,CH301(M2),HS505(EE-SH),CE515(EE-3),,EE205(CS-SH)
,,,CS526(CS-1),,ME549(M2),,ME206(ME-SH),HS506(CY-SH),ME501(ME-1),,MA514(CY-SH)
,,,HS405(CY-SH),,EE527(EE-SH),,MM301(ME-2),HS507(CS-SH),CH503(CY-2),,
,,,,,EE535(EE-1),,MA515(CY-SH),CY417(M2),ME506(ME-SH),,
,,,,,,,CY416(CY-1),MA411(ME-1),MA415-(ME-2),,
,,,,,,,CY515(CY-2),CE523(EE-3),EE316(EE-2),,
,,,,,,,MA414(ME-1),CS506(CS-1),,,
,,,,,,,BM605(EE-1),CH502(CY-2),,,
,,,,,,,CE503(CS-1),,,,
,,,,,,,EE515(EE-2),,,NCC/NSO/NSS,
,,ME202-LAB,,,,,CE519(EE-3),LAB - 4h - 5,,,
,,GE107-G5,,,,,,LAB - 3h - 5,,,T-S
,,,CE201/CE304 LAB,,,,,EE204-LAB,,,
,,Lab - 2h - 5,,Lab - 2h - 6,,,,,GE107-G4,,
,,,EE204-LAB,,,,,,GE108-G10,,
,,,,,,,,,GE109-G8,,
Friday,T -PCE-2,PCPE,HSME,PCDE,PEOE,,PCE-1,PCE-2,PCE-3,HSPE,T -PCE-1
,PH101,BM101(M5),CE401(M1),HS301(M6),CE520(M1),,HS102,PH101,MA101,GE104,
,CS203(M3),HS202(M6),CH303(M2),GE111(M5),HS472(M3),,HS103,CS203(M3),CE402(M2),PH614(M3),HS201(M6)
,,CS504(CS-1),ME302(ME-SH),CE511(M1),MM401(ME-2),,MA201(M5),EE205(M4),CS302(M3),CE521(M2),EE305(CS-SH)
,CE304(M1),CS533(CS-2),CS301(M5),,MA615(M4),,HS201(M6),,CH302(M1),EE531(EE-1),CS303(M4)
,ME102(ME-SH),CE516(M1),EE303(CS-SH),ME507(ME-SH),CS630(CS-SH),,HS201(M3),ME102(ME-SH),EE301(M4),HS501(M4),CE404(M1)
,MM203(ME-2),PH552(M3),MA301(M4),ME548(ME-1),CS539(M5),,EE305(CS-SH),MM203(ME-2),ME301(M6),MM403(ME-2),CH301(M2)
,HS104 (M6),,MM303(ME-2),EE523(EE-1),BM611(CY-SH),,CS303(M4),,MM302(CY-1),,ME206(ME-SH)
,,ME502(ME-1),HS475(M3),EE533(EE-SH),ME517(ME-1),,CE404(M1),,MA514(CY-SH),,MM301(ME-2)
,,ME521(ME-SH),ME503(ME-1),CS516(CS-1),ME471(ME-SH),,CH301(M2),HS505(EE-SH),CE515(EE-3),,MA201(G7)(EE-1)
,,,CS526(CS-1),,ME549(M2),,ME206(ME-SH),HS506(CY-SH),ME501(ME-1),ME547(ME-SH),MA201(G8)(EE-2)
,,,HS405(CY-SH),,EE527(EE-SH),,MM301(ME-2),HS507(CS-SH),CH503(CY-2),ME579(ME-2),MA201(G9)(EE-3)
,,,,,EE535(EE-1),,MA515(CY-SH),CY417(M2),ME506(ME-SH),HS413(M6),MA201(G10)(CS-1)
,,,,,,,CY416(CY-1),MA411(ME-1),MA415-(ME-2),,MA201(G11)(CS-2)
,,,,,,,CY515(CY-2),CE523(EE-3),EE316(EE-2),,MA201(G12+ Backloger)(M5)
,,,,,,,MA414(ME-1),CS506(CS-1),,,
,,,,,,,BM605(EE-1),CH502(CY-2),,,
,,,,,,,CE503(CS-1),,,,
,,,,,,,EE515(EE-2),,,,
,,ME202-LAB,,,,,CE519(EE-3),LAB - 4h - 6,,,
,,GE107-G6,,,,,,,GE108-G12,,
,,Lab - 2h - 7,CE201/CE304 LAB,,,,,,GE109-G11,,
,,,EE204-LAB,,,,,,,NCC/NSO/NSS,
Saturday,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
M1,Classroom of 50 Capacity,,,,,,,,,,
M2,Classroom of 50 Capacity,,,,,,,,,,
M3,Classroom of 100 Capacity,,,,,,,,,,
M4,Classroom of 100 Capacity,,,,,,,,,,
M5,Classroom of 195 Capacity,,,,,,,,,,
M6,Classroom of 180 Capacity,,,,,,,,,,
CS1,Classroom of 60 Capacity in CSE Block,,,,,,,,,,
CS2,Classroom of 40 Capacity in CSE Block,,,,,,,,,,
CS(SH),Seminar Hall of 90 Capacity in CSE Block,,,,,,,,,,
EE1,Classroom of 65 Capacity in EE Block,,,,,,,,,,
EE2,Classroom of 35 Capacity in EE Block,,,,,,,,,,
EE3,Classroom of 60 Capacity in EE Block(Room No. 204),,,,,,,,,,
EE(SH),Seminar Hall of 80 Capacity in EE Block,,,,,,,,,,
ME1,Classroom of 70 Capacity in ME Block,,,,,,,,,,
ME2,Classroom of 35 Capacity in ME Block,,,,,,,,,,
ME(SH),Seminar Hall of 90 Capacity in ME Block,,,,,,,,,,
CY(SH),Seminar Hall of 90 Capacity in Chemistry Block,,,,,,,,,,
CY1,Classroom of 35 Capacity in Chemistry Block,,,,,,,,,,
CY2,Classroom of 30 Capacity in Chemistry Block,,,,,,,,,,
LB1,Classroom of 200 Capacity in Library Block,,,,,,,,,,
